-81.92	-81.92	20.12	-34.64	42.44	-81.92	-22.28	-54.96	-81.92	-81.92	8.32	-19.32	-12.76	-81.92	25.04	-44.36
-16.68	32.72	16.68	-30.08	60.88	-81.92	-69.72	-59.32	81.88	81.88	8.88	-16.68	1.48	-81.92	43.04	-37.84
81.88	81.88	16.4	-49.72	8.52	60.08	-11.52	-57.92	-81.92	-81.92	15.84	-17.04	-29.32	81.88	33.4	-45.56
-81.92	-81.92	9.48	-65.72	38.56	-81.92	-33.52	-79.16	-81.92	-81.92	2.72	-56.64	-21.32	-81.92	-17.8	-65.68
81.88	81.88	7.96	-43.04	23.72	81.88	-26.0	-57.48	81.88	81.88	0.04	-44.6	-9.92	81.88	40.24	-59.4
-81.92	-81.92	19.08	-70.44	42.28	-81.92	-27.36	-81.92	-81.92	-62.56	11.56	-43.0	-5.16	-81.92	-81.92	-53.76
81.88	81.88	6.88	-57.72	31.64	81.88	-55.2	-81.92	81.88	81.88	-3.24	-59.48	-19.28	81.88	20.44	-69.64
-81.92	-81.92	10.68	-58.04	30.72	-81.92	-44.56	-68.24	-81.92	-81.92	2.84	-46.16	-20.2	-81.92	44.16	-60.56
81.88	81.88	4.84	-81.92	21.44	81.88	-39.36	-81.92	81.88	81.88	-7.68	-47.84	-22.6	81.88	40.32	-58.6
-81.92	-81.92	14.28	-52.52	32.0	-81.92	-48.84	-81.92	-81.92	-81.92	16.16	-22.56	-14.76	-81.92	-81.92	-48.6
81.88	81.88	14.68	-40.72	58.08	81.88	-45.28	-81.92	81.88	81.88	-1.24	-39.48	9.4	81.88	19.84	-69.04
-81.92	-81.92	-0.32	-56.28	26.8	-81.92	-48.16	-81.92	-81.92	-81.92	-0.92	-32.68	-20.08	-81.92	24.24	-62.64
81.88	81.88	7.84	-38.64	51.56	81.88	-57.28	-81.92	81.88	81.88	0.08	-39.36	-13.8	33.6	-81.92	-71.32
-81.92	-81.92	-6.52	-54.0	37.8	-81.92	-55.2	-62.2	-81.92	-81.92	-2.8	-31.68	-15.24	-81.92	-81.92	-49.32
81.88	81.88	-10.96	-47.04	32.68	-61.12	-43.12	-73.76	81.88	81.88	10.56	-33.8	-16.04	81.88	10.76	-62.48
-81.92	-81.92	-19.28	-57.16	44.04	-81.92	-71.36	-81.92	-81.92	-81.92	-4.48	-23.56	-0.16	81.88	-81.92	-37.52
-81.92	-81.92	-27.76	-59.2	41.16	-81.92	-73.08	-79.08	-81.92	81.88	-24.16	-48.32	-21.88	-81.92	-33.84	-75.52
-81.92	-81.92	-33.64	-51.36	43.92	-81.92	-80.6	-81.28	-81.92	-81.92	-28.28	-44.28	-8.36	81.88	20.48	-56.76
81.88	81.88	-40.88	-81.92	47.96	81.88	-81.92	-81.92	81.88	81.88	-41.72	-60.68	-1.56	-81.92	7.6	-71.0
81.88	81.88	-38.68	-73.36	45.52	81.88	-81.92	-81.92	81.88	-81.92	-28.16	-49.32	-14.6	81.88	30.6	-54.08
-81.92	-81.92	-35.72	-75.64	61.08	-81.92	-79.92	-81.92	-81.92	-81.92	-18.32	-48.04	14.36	-81.92	-10.8	-50.6
81.88	81.88	-39.8	-70.64	45.04	81.88	-81.92	-81.92	81.88	81.88	-22.6	-54.36	-7.36	81.88	3.44	-64.68
-81.92	-81.92	-33.44	-69.96	58.28	-81.92	-81.92	-79.92	-81.92	-81.92	-16.2	-49.44	2.92	-81.92	-45.32	-62.52
81.88	81.88	-27.0	-69.24	58.8	81.88	-81.92	-81.92	81.88	81.88	-19.2	-54.08	-0.28	81.88	-13.76	-70.04
-81.92	-81.92	-30.4	-77.56	56.8	-81.92	-81.92	-81.92	-81.92	-81.92	-18.12	-53.36	-3.12	-81.92	-17.56	-66.12
81.88	81.88	-22.4	-74.6	25.84	81.88	-81.92	-81.92	81.88	81.88	-12.2	-45.56	-13.24	81.88	-10.2	-60.24
-81.92	-81.92	-6.88	-54.16	46.2	-81.92	-63.72	-71.6	-81.92	-81.92	7.6	-25.68	10.72	-81.92	-25.44	-40.28
81.88	81.88	-5.0	-49.56	53.96	81.88	-72.32	-81.92	81.88	81.88	-2.12	-41.16	12.08	81.88	-31.6	-59.32
-81.92	-81.92	-5.96	-53.36	42.16	-81.92	-70.04	-66.32	-81.92	-81.92	9.8	-20.72	2.44	-81.92	-6.8	-17.44
81.88	81.88	-1.92	-38.08	71.76	81.88	-75.16	-75.6	81.88	81.88	-17.16	-44.84	4.64	39.6	-42.32	-68.16
-81.92	-81.92	3.92	-27.6	41.32	-81.92	-63.68	-43.16	-81.92	-81.92	7.76	-23.12	-13.28	81.88	-22.48	-41.2
81.88	81.88	-10.36	-48.6	44.92	81.88	-74.32	-66.04	81.88	81.88	-16.64	-40.56	-4.56	81.88	-29.84	-48.52
-52.4	-81.92	-10.4	-51.2	30.24	-81.92	-60.08	-81.92	-81.92	-81.92	-9.92	-41.52	-20.44	81.88	-38.0	-56.84
